RAJ2000,DEJ2000,pcS,paS,N
128.04604166666664,8.286027777777777,0.026,0.974,38
129.69579166666665,7.480694444444444,0.941,0.015,68
129.24387499999997,7.963694444444443,0.968,0.0,31
129.404125,7.969888888888888,0.0,0.909,33
129.54204166666665,7.969666666666666,0.0,1.0,31
130.20179166666665,8.293499999999998,0.0,0.866,67
130.44854166666664,8.446333333333332,1.0,0.0,28
129.8683333333333,8.28461111111111,0.881,0.017,59
128.40099999999998,8.304277777777777,0.829,0.0,35
129.20016666666666,8.843777777777776,0.022,0.957,46
129.32412499999998,8.990388888888887,0.963,0.037,27
132.28283333333331,7.37311111111111,0.033,0.867,30
132.16112499999997,8.092999999999998,0.9,0.033,30
132.72349999999997,8.213888888888889,0.0,0.903,31
131.65991666666665,7.947833333333333,0.0,0.925,67
131.87379166666665,8.287999999999998,0.019,0.906,53
132.134875,8.81861111111111,1.0,0.0,48
132.47237499999997,9.277888888888887,0.0,0.839,31
132.43045833333332,9.332194444444443,0.879,0.03,33
132.24116666666666,9.439583333333331,0.0,0.971,35
132.09041666666664,9.438527777777777,0.0,0.971,34
133.62054166666664,8.745666666666665,0.0,0.909,44
133.87366666666665,9.170083333333332,0.906,0.019,53
133.29716666666664,9.148166666666665,0.019,0.926,54
133.73729166666664,9.18672222222222,0.946,0.018,56
133.83045833333333,9.28822222222222,0.857,0.0,28
133.5874583333333,9.340916666666665,0.02,0.939,49
134.63712499999997,9.436499999999999,0.0,0.972,36
132.67529166666665,9.340777777777776,1.0,0.0,28
133.28029166666664,9.80611111111111,0.952,0.0,62
132.60629166666664,9.428888888888888,0.0,0.821,28
132.74895833333332,9.599333333333332,0.0,1.0,70
130.73304166666665,8.850944444444444,0.86,0.0,50
131.2975833333333,9.10997222222222,0.065,0.871,31
130.99291666666664,9.303249999999998,0.032,0.903,31
131.38733333333332,9.158499999999998,0.028,0.806,36
131.81775,9.530916666666664,0.0,0.952,21
131.85475,9.634999999999998,0.0,0.87,23
131.37658333333331,9.92697222222222,1.0,0.0,37
131.47579166666665,9.972194444444444,0.868,0.053,38
130.05670833333332,9.03011111111111,0.828,0.0,29
130.19229166666665,9.197388888888888,0.833,0.033,30
130.51762499999998,9.61161111111111,1.0,0.0,33
129.65133333333333,9.545638888888888,0.971,0.0,34
130.98379166666666,9.923166666666665,0.981,0.019,53
130.91187499999998,10.516583333333331,0.016,0.951,61
130.82095833333332,10.699027777777776,0.04,0.84,25
130.839125,10.726083333333332,1.0,0.0,32
132.77287499999997,11.056305555555554,0.0,0.939,33
132.11874999999998,10.789916666666665,0.019,0.808,52
131.2793333333333,10.742305555555554,0.932,0.017,59
131.39774999999997,11.153305555555553,0.0,0.867,60
132.18729166666665,11.115472222222222,0.0,0.941,34
132.19979166666664,11.454666666666665,0.933,0.0,75
132.02504166666665,11.595888888888886,0.86,0.02,50
126.68374999999999,7.340833333333332,0.0,0.9,40
